game_pk,game_date_et,season,team_id,team_abbr,is_home,opp_sp_hand,ab,h,d,t3,hr,bb,hbp,sf,pa,obp,slg,runs_scored
662235,4/16/2022,2022,144,ATL,0,R,33,9,3,0,3,4,1,1,39,0.359,0.6364,5
661527,4/16/2022,2022,145,CWS,1,R,32,7,1,0,1,0,0,0,32,0.2188,0.3438,3
661416,4/16/2022,2022,146,MIA,1,L,33,8,2,0,2,4,0,0,37,0.3243,0.4848,3
663266,4/16/2022,2022,147,NYY,0,R,35,11,3,0,1,5,1,0,43,0.4146,0.4857,5
661335,4/16/2022,2022,158,MIL,1,L,31,5,1,0,1,0,0,0,31,0.1613,0.2903,1
662038,4/17/2022,2022,108,LAA,0,L,35,10,2,0,0,7,1,0,43,0.4186,0.3429,8
662625,4/17/2022,2022,109,AZ,0,L,32,5,2,0,0,4,0,0,36,0.25,0.2188,0
663365,4/17/2022,2022,110,BAL,1,L,33,9,1,0,0,4,0,0,37,0.3514,0.303,5
663308,4/17/2022,2022,111,BOS,1,R,32,11,2,0,0,2,0,3,37,0.3514,0.4063,8
662930,4/17/2022,2022,112,CHC,0,L,39,13,4,0,2,5,0,0,44,0.4091,0.5897,6
662618,4/17/2022,2022,113,CIN,0,L,30,4,2,0,0,3,1,0,34,0.2353,0.2,1
663132,4/17/2022,2022,114,CLE,1,L,31,6,1,0,0,3,0,0,34,0.2647,0.2258,1
662930,4/17/2022,2022,115,COL,1,L,34,9,2,0,1,4,0,1,39,0.3333,0.4118,4
662700,4/17/2022,2022,116,DET,0,R,32,4,0,0,0,1,0,0,33,0.1515,0.125,1
662700,4/17/2022,2022,118,KC,1,R,33,9,2,0,1,1,0,0,34,0.2941,0.4242,3
662618,4/17/2022,2022,119,LAD,1,R,34,10,4,0,0,7,0,0,41,0.4146,0.4118,9
662294,4/17/2022,2022,120,WSH,0,L,33,8,1,0,0,6,1,0,40,0.375,0.2727,3
662625,4/17/2022,2022,121,NYM,1,R,29,6,1,0,1,6,0,1,36,0.3333,0.3448,5
661804,4/17/2022,2022,133,ATH,0,R,30,6,0,0,1,3,1,2,36,0.2778,0.3,3
